,School Name,Region,School Type,Undergraduate Major,Adjusted Salary
3169,College of the Holy Cross,Northeastern,Liberal Arts,Electrical Engineering,65056
3170,College of the Holy Cross,Northeastern,Liberal Arts,English,42156
3171,College of the Holy Cross,Northeastern,Liberal Arts,Film,42056
3172,College of the Holy Cross,Northeastern,Liberal Arts,Finance,52056
3173,College of the Holy Cross,Northeastern,Liberal Arts,Forestry,43256
3174,College of the Holy Cross,Northeastern,Liberal Arts,Geography,45356
3175,College of the Holy Cross,Northeastern,Liberal Arts,Geology,47656
3176,College of the Holy Cross,Northeastern,Liberal Arts,Graphic Design,39856
3177,College of the Holy Cross,Northeastern,Liberal Arts,Health Care Administration,42956
3178,College of the Holy Cross,Northeastern,Liberal Arts,History,43356
3179,College of the Holy Cross,Northeastern,Liberal Arts,Hospitality & Tourism,41956
3180,College of the Holy Cross,Northeastern,Liberal Arts,Industrial Engineering,61856
3181,College of the Holy Cross,Northeastern,Liberal Arts,Information Technology (IT),53256
3182,College of the Holy Cross,Northeastern,Liberal Arts,Interior Design,40256
3183,College of the Holy Cross,Northeastern,Liberal Arts,International Relations,45056
3184,College of the Holy Cross,Northeastern,Liberal Arts,Journalism,39756
3185,College of the Holy Cross,Northeastern,Liberal Arts,Management Information Systems (MIS),53356
3186,College of the Holy Cross,Northeastern,Liberal Arts,Marketing,44956
3187,College of the Holy Cross,Northeastern,Liberal Arts,Math,49556
3188,College of the Holy Cross,Northeastern,Liberal Arts,Mechanical Engineering,62056
3189,College of the Holy Cross,Northeastern,Liberal Arts,Music,40056
3190,College of the Holy Cross,Northeastern,Liberal Arts,Nursing,58356
3191,College of the Holy Cross,Northeastern,Liberal Arts,Nutrition,44056
3192,College of the Holy Cross,Northeastern,Liberal Arts,Philosophy,44056
3193,College of the Holy Cross,Northeastern,Liberal Arts,Physician Assistant,78456
3194,College of the Holy Cross,Northeastern,Liberal Arts,Physics,54456
3195,College of the Holy Cross,Northeastern,Liberal Arts,Political Science,44956
3196,College of the Holy Cross,Northeastern,Liberal Arts,Psychology,40056
3197,College of the Holy Cross,Northeastern,Liberal Arts,Religion,38256
3198,College of the Holy Cross,Northeastern,Liberal Arts,Sociology,40656
3199,College of the Holy Cross,Northeastern,Liberal Arts,Spanish,38156
3200,Occidental College,California,Liberal Arts,Accounting,51856
3201,Occidental College,California,Liberal Arts,Aerospace Engineering,63556
3202,Occidental College,California,Liberal Arts,Agriculture,48456
3203,Occidental College,California,Liberal Arts,Anthropology,42656
3204,Occidental College,California,Liberal Arts,Architecture,47456
3205,Occidental College,California,Liberal Arts,Art History,41656
3206,Occidental College,California,Liberal Arts,Biology,44656
3207,Occidental College,California,Liberal Arts,Business Management,48856
3208,Occidental College,California,Liberal Arts,Chemical Engineering,69056
3209,Occidental College,California,Liberal Arts,Chemistry,48456
3210,Occidental College,California,Liberal Arts,Civil Engineering,59756
3211,Occidental College,California,Liberal Arts,Communications,43956
3212,Occidental College,California,Liberal Arts,Computer Engineering,67256
3213,Occidental College,California,Liberal Arts,Computer Science,61756
3214,Occidental College,California,Liberal Arts,Construction,59556
3215,Occidental College,California,Liberal Arts,Criminal Justice,40856
3216,Occidental College,California,Liberal Arts,Drama,41756
3217,Occidental College,California,Liberal Arts,Economics,55956
3218,Occidental College,California,Liberal Arts,Education,40756
3219,Occidental College,California,Liberal Arts,Electrical Engineering,66756
3220,Occidental College,California,Liberal Arts,English,43856
3221,Occidental College,California,Liberal Arts,Film,43756
3222,Occidental College,California,Liberal Arts,Finance,53756
3223,Occidental College,California,Liberal Arts,Forestry,44956
3224,Occidental College,California,Liberal Arts,Geography,47056
3225,Occidental College,California,Liberal Arts,Geology,49356
3226,Occidental College,California,Liberal Arts,Graphic Design,41556
3227,Occidental College,California,Liberal Arts,Health Care Administration,44656
3228,Occidental College,California,Liberal Arts,History,45056
3229,Occidental College,California,Liberal Arts,Hospitality & Tourism,43656
3230,Occidental College,California,Liberal Arts,Industrial Engineering,63556
3231,Occidental College,California,Liberal Arts,Information Technology (IT),54956
3232,Occidental College,California,Liberal Arts,Interior Design,41956
3233,Occidental College,California,Liberal Arts,International Relations,46756
3234,Occidental College,California,Liberal Arts,Journalism,41456
3235,Occidental College,California,Liberal Arts,Management Information Systems (MIS),55056
3236,Occidental College,California,Liberal Arts,Marketing,46656
3237,Occidental College,California,Liberal Arts,Math,51256
3238,Occidental College,California,Liberal Arts,Mechanical Engineering,63756
3239,Occidental College,California,Liberal Arts,Music,41756
3240,Occidental College,California,Liberal Arts,Nursing,60056
3241,Occidental College,California,Liberal Arts,Nutrition,45756
3242,Occidental College,California,Liberal Arts,Philosophy,45756
3243,Occidental College,California,Liberal Arts,Physician Assistant,80156
3244,Occidental College,California,Liberal Arts,Physics,56156
3245,Occidental College,California,Liberal Arts,Political Science,46656
3246,Occidental College,California,Liberal Arts,Psychology,41756
3247,Occidental College,California,Liberal Arts,Religion,39956
3248,Occidental College,California,Liberal Arts,Sociology,42356
3249,Occidental College,California,Liberal Arts,Spanish,39856
3250,Washington and Lee University,Southern,Liberal Arts,Accounting,53556
3251,Washington and Lee University,Southern,Liberal Arts,Aerospace Engineering,65256
3252,Washington and Lee University,Southern,Liberal Arts,Agriculture,50156
3253,Washington and Lee University,Southern,Liberal Arts,Anthropology,44356
3254,Washington and Lee University,Southern,Liberal Arts,Architecture,49156
3255,Washington and Lee University,Southern,Liberal Arts,Art History,43356
3256,Washington and Lee University,Southern,Liberal Arts,Biology,46356
3257,Washington and Lee University,Southern,Liberal Arts,Business Management,50556
3258,Washington and Lee University,Southern,Liberal Arts,Chemical Engineering,70756
3259,Washington and Lee University,Southern,Liberal Arts,Chemistry,50156
3260,Washington and Lee University,Southern,Liberal Arts,Civil Engineering,61456
3261,Washington and Lee University,Southern,Liberal Arts,Communications,45656
3262,Washington and Lee University,Southern,Liberal Arts,Computer Engineering,68956
3263,Washington and Lee University,Southern,Liberal Arts,Computer Science,63456
3264,Washington and Lee University,Southern,Liberal Arts,Construction,61256
3265,Washington and Lee University,Southern,Liberal Arts,Criminal Justice,42556
3266,Washington and Lee University,Southern,Liberal Arts,Drama,43456
3267,Washington and Lee University,Southern,Liberal Arts,Economics,57656
3268,Washington and Lee University,Southern,Liberal Arts,Education,42456
3269,Washington and Lee University,Southern,Liberal Arts,Electrical Engineering,68456
3270,Washington and Lee University,Southern,Liberal Arts,English,45556
3271,Washington and Lee University,Southern,Liberal Arts,Film,45456
3272,Washington and Lee University,Southern,Liberal Arts,Finance,55456
3273,Washington and Lee University,Southern,Liberal Arts,Forestry,46656
3274,Washington and Lee University,Southern,Liberal Arts,Geography,48756
3275,Washington and Lee University,Southern,Liberal Arts,Geology,51056
3276,Washington and Lee University,Southern,Liberal Arts,Graphic Design,43256
3277,Washington and Lee University,Southern,Liberal Arts,Health Care Administration,46356
3278,Washington and Lee University,Southern,Liberal Arts,History,46756
3279,Washington and Lee University,Southern,Liberal Arts,Hospitality & Tourism,45356
3280,Washington and Lee University,Southern,Liberal Arts,Industrial Engineering,65256
3281,Washington and Lee University,Southern,Liberal Arts,Information Technology (IT),56656
3282,Washington and Lee University,Southern,Liberal Arts,Interior Design,43656
3283,Washington and Lee University,Southern,Liberal Arts,International Relations,48456
3284,Washington and Lee University,Southern,Liberal Arts,Journalism,43156
3285,Washington and Lee University,Southern,Liberal Arts,Management Information Systems (MIS),56756
3286,Washington and Lee University,Southern,Liberal Arts,Marketing,48356
3287,Washington and Lee University,Southern,Liberal Arts,Math,52956
3288,Washington and Lee University,Southern,Liberal Arts,Mechanical Engineering,65456
3289,Washington and Lee University,Southern,Liberal Arts,Music,43456
3290,Washington and Lee University,Southern,Liberal Arts,Nursing,61756
3291,Washington and Lee University,Southern,Liberal Arts,Nutrition,47456
3292,Washington and Lee University,Southern,Liberal Arts,Philosophy,47456
3293,Washington and Lee University,Southern,Liberal Arts,Physician Assistant,81856
3294,Washington and Lee University,Southern,Liberal Arts,Physics,57856
3295,Washington and Lee University,Southern,Liberal Arts,Political Science,48356
3296,Washington and Lee University,Southern,Liberal Arts,Psychology,43456
3297,Washington and Lee University,Southern,Liberal Arts,Religion,41656
3298,Washington and Lee University,Southern,Liberal Arts,Sociology,44056
3299,Washington and Lee University,Southern,Liberal Arts,Spanish,41556
3300,Swarthmore College,Northeastern,Liberal Arts,Accounting,49656
3301,Swarthmore College,Northeastern,Liberal Arts,Aerospace Engineering,61356
3302,Swarthmore College,Northeastern,Liberal Arts,Agriculture,46256
3303,Swarthmore College,Northeastern,Liberal Arts,Anthropology,40456
3304,Swarthmore College,Northeastern,Liberal Arts,Architecture,45256
3305,Swarthmore College,Northeastern,Liberal Arts,Art History,39456
3306,Swarthmore College,Northeastern,Liberal Arts,Biology,42456
3307,Swarthmore College,Northeastern,Liberal Arts,Business Management,46656
3308,Swarthmore College,Northeastern,Liberal Arts,Chemical Engineering,66856
3309,Swarthmore College,Northeastern,Liberal Arts,Chemistry,46256
3310,Swarthmore College,Northeastern,Liberal Arts,Civil Engineering,57556
3311,Swarthmore College,Northeastern,Liberal Arts,Communications,41756
3312,Swarthmore College,Northeastern,Liberal Arts,Computer Engineering,65056
3313,Swarthmore College,Northeastern,Liberal Arts,Computer Science,59556
3314,Swarthmore College,Northeastern,Liberal Arts,Construction,57356
3315,Swarthmore College,Northeastern,Liberal Arts,Criminal Justice,38656
3316,Swarthmore College,Northeastern,Liberal Arts,Drama,39556
3317,Swarthmore College,Northeastern,Liberal Arts,Economics,53756
3318,Swarthmore College,Northeastern,Liberal Arts,Education,38556
3319,Swarthmore College,Northeastern,Liberal Arts,Electrical Engineering,64556
3320,Swarthmore College,Northeastern,Liberal Arts,English,41656
3321,Swarthmore College,Northeastern,Liberal Arts,Film,41556
3322,Swarthmore College,Northeastern,Liberal Arts,Finance,51556
3323,Swarthmore College,Northeastern,Liberal Arts,Forestry,42756
3324,Swarthmore College,Northeastern,Liberal Arts,Geography,44856
3325,Swarthmore College,Northeastern,Liberal Arts,Geology,47156
3326,Swarthmore College,Northeastern,Liberal Arts,Graphic Design,39356
3327,Swarthmore College,Northeastern,Liberal Arts,Health Care Administration,42456
3328,Swarthmore College,Northeastern,Liberal Arts,History,42856
3329,Swarthmore College,Northeastern,Liberal Arts,Hospitality & Tourism,41456
3330,Swarthmore College,Northeastern,Liberal Arts,Industrial Engineering,61356
3331,Swarthmore College,Northeastern,Liberal Arts,Information Technology (IT),52756
3332,Swarthmore College,Northeastern,Liberal Arts,Interior Design,39756
3333,Swarthmore College,Northeastern,Liberal Arts,International Relations,44556
3334,Swarthmore College,Northeastern,Liberal Arts,Journalism,39256
3335,Swarthmore College,Northeastern,Liberal Arts,Management Information Systems (MIS),52856
3336,Swarthmore College,Northeastern,Liberal Arts,Marketing,44456
3337,Swarthmore College,Northeastern,Liberal Arts,Math,49056
3338,Swarthmore College,Northeastern,Liberal Arts,Mechanical Engineering,61556
3339,Swarthmore College,Northeastern,Liberal Arts,Music,39556
3340,Swarthmore College,Northeastern,Liberal Arts,Nursing,57856
3341,Swarthmore College,Northeastern,Liberal Arts,Nutrition,43556
3342,Swarthmore College,Northeastern,Liberal Arts,Philosophy,43556
3343,Swarthmore College,Northeastern,Liberal Arts,Physician Assistant,77956
3344,Swarthmore College,Northeastern,Liberal Arts,Physics,53956
3345,Swarthmore College,Northeastern,Liberal Arts,Political Science,44456
3346,Swarthmore College,Northeastern,Liberal Arts,Psychology,39556
3347,Swarthmore College,Northeastern,Liberal Arts,Religion,37756
3348,Swarthmore College,Northeastern,Liberal Arts,Sociology,40156
3349,Swarthmore College,Northeastern,Liberal Arts,Spanish,37656
3350,Davidson College,Southern,Liberal Arts,Accounting,46056
3351,Davidson College,Southern,Liberal Arts,Aerospace Engineering,57756
3352,Davidson College,Southern,Liberal Arts,Agriculture,42656
3353,Davidson College,Southern,Liberal Arts,Anthropology,36856
3354,Davidson College,Southern,Liberal Arts,Architecture,41656
3355,Davidson College,Southern,Liberal Arts,Art History,35856
3356,Davidson College,Southern,Liberal Arts,Biology,38856
3357,Davidson College,Southern,Liberal Arts,Business Management,43056
3358,Davidson College,Southern,Liberal Arts,Chemical Engineering,63256
3359,Davidson College,Southern,Liberal Arts,Chemistry,42656
3360,Davidson College,Southern,Liberal Arts,Civil Engineering,53956
3361,Davidson College,Southern,Liberal Arts,Communications,38156
3362,Davidson College,Southern,Liberal Arts,Computer Engineering,61456
3363,Davidson College,Southern,Liberal Arts,Computer Science,55956
3364,Davidson College,Southern,Liberal Arts,Construction,53756
3365,Davidson College,Southern,Liberal Arts,Criminal Justice,35056
3366,Davidson College,Southern,Liberal Arts,Drama,35956
3367,Davidson College,Southern,Liberal Arts,Economics,50156
3368,Davidson College,Southern,Liberal Arts,Education,34956
3369,Davidson College,Southern,Liberal Arts,Electrical Engineering,60956
3370,Davidson College,Southern,Liberal Arts,English,38056
3371,Davidson College,Southern,Liberal Arts,Film,37956
3372,Davidson College,Southern,Liberal Arts,Finance,47956
3373,Davidson College,Southern,Liberal Arts,Forestry,39156
3374,Davidson College,Southern,Liberal Arts,Geography,41256
3375,Davidson College,Southern,Liberal Arts,Geology,43556
3376,Davidson College,Southern,Liberal Arts,Graphic Design,35756
3377,Davidson College,Southern,Liberal Arts,Health Care Administration,38856
3378,Davidson College,Southern,Liberal Arts,History,39256
3379,Davidson College,Southern,Liberal Arts,Hospitality & Tourism,37856
3380,Davidson College,Southern,Liberal Arts,Industrial Engineering,57756
3381,Davidson College,Southern,Liberal Arts,Information Technology (IT),49156
3382,Davidson College,Southern,Liberal Arts,Interior Design,36156
3383,Davidson College,Southern,Liberal Arts,International Relations,40956
3384,Davidson College,Southern,Liberal Arts,Journalism,35656
3385,Davidson College,Southern,Liberal Arts,Management Information Systems (MIS),49256
3386,Davidson College,Southern,Liberal Arts,Marketing,40856
3387,Davidson College,Southern,Liberal Arts,Math,45456
3388,Davidson College,Southern,Liberal Arts,Mechanical Engineering,57956
3389,Davidson College,Southern,Liberal Arts,Music,35956
3390,Davidson College,Southern,Liberal Arts,Nursing,54256
3391,Davidson College,Southern,Liberal Arts,Nutrition,39956
3392,Davidson College,Southern,Liberal Arts,Philosophy,39956
3393,Davidson College,Southern,Liberal Arts,Physician Assistant,74356
3394,Davidson College,Southern,Liberal Arts,Physics,50356
3395,Davidson College,Southern,Liberal Arts,Political Science,40856
3396,Davidson College,Southern,Liberal Arts,Psychology,35956
3397,Davidson College,Southern,Liberal Arts,Religion,34156
3398,Davidson College,Southern,Liberal Arts,Sociology,36556
3399,Davidson College,Southern,Liberal Arts,Spanish,34056
3400,Carleton College,Midwestern,Liberal Arts,Accounting,47456
3401,Carleton College,Midwestern,Liberal Arts,Aerospace Engineering,59156
3402,Carleton College,Midwestern,Liberal Arts,Agriculture,44056
3403,Carleton College,Midwestern,Liberal Arts,Anthropology,38256
3404,Carleton College,Midwestern,Liberal Arts,Architecture,43056
3405,Carleton College,Midwestern,Liberal Arts,Art History,37256
3406,Carleton College,Midwestern,Liberal Arts,Biology,40256
3407,Carleton College,Midwestern,Liberal Arts,Business Management,44456
3408,Carleton College,Midwestern,Liberal Arts,Chemical Engineering,64656
3409,Carleton College,Midwestern,Liberal Arts,Chemistry,44056
3410,Carleton College,Midwestern,Liberal Arts,Civil Engineering,55356
3411,Carleton College,Midwestern,Liberal Arts,Communications,39556
3412,Carleton College,Midwestern,Liberal Arts,Computer Engineering,62856
3413,Carleton College,Midwestern,Liberal Arts,Computer Science,57356
3414,Carleton College,Midwestern,Liberal Arts,Construction,55156
3415,Carleton College,Midwestern,Liberal Arts,Criminal Justice,36456
3416,Carleton College,Midwestern,Liberal Arts,Drama,37356
3417,Carleton College,Midwestern,Liberal Arts,Economics,51556
3418,Carleton College,Midwestern,Liberal Arts,Education,36356
3419,Carleton College,Midwestern,Liberal Arts,Electrical Engineering,62356
3420,Carleton College,Midwestern,Liberal Arts,English,39456
3421,Carleton College,Midwestern,Liberal Arts,Film,39356
3422,Carleton College,Midwestern,Liberal Arts,Finance,49356
3423,Carleton College,Midwestern,Liberal Arts,Forestry,40556
3424,Carleton College,Midwestern,Liberal Arts,Geography,42656
3425,Carleton College,Midwestern,Liberal Arts,Geology,44956
3426,Carleton College,Midwestern,Liberal Arts,Graphic Design,37156
3427,Carleton College,Midwestern,Liberal Arts,Health Care Administration,40256
3428,Carleton College,Midwestern,Liberal Arts,History,40656
3429,Carleton College,Midwestern,Liberal Arts,Hospitality & Tourism,39256
3430,Carleton College,Midwestern,Liberal Arts,Industrial Engineering,59156
3431,Carleton College,Midwestern,Liberal Arts,Information Technology (IT),50556
3432,Carleton College,Midwestern,Liberal Arts,Interior Design,37556
3433,Carleton College,Midwestern,Liberal Arts,International Relations,42356
3434,Carleton College,Midwestern,Liberal Arts,Journalism,37056
3435,Carleton College,Midwestern,Liberal Arts,Management Information Systems (MIS),50656
3436,Carleton College,Midwestern,Liberal Arts,Marketing,42256
3437,Carleton College,Midwestern,Liberal Arts,Math,46856
3438,Carleton College,Midwestern,Liberal Arts,Mechanical Engineering,59356
3439,Carleton College,Midwestern,Liberal Arts,Music,37356
3440,Carleton College,Midwestern,Liberal Arts,Nursing,55656
3441,Carleton College,Midwestern,Liberal Arts,Nutrition,41356
3442,Carleton College,Midwestern,Liberal Arts,Philosophy,41356
3443,Carleton College,Midwestern,Liberal Arts,Physician Assistant,75756
3444,Carleton College,Midwestern,Liberal Arts,Physics,51756
3445,Carleton College,Midwestern,Liberal Arts,Political Science,42256
3446,Carleton College,Midwestern,Liberal Arts,Psychology,37356
3447,Carleton College,Midwestern,Liberal Arts,Religion,35556
3448,Carleton College,Midwestern,Liberal Arts,Sociology,37956
3449,Carleton College,Midwestern,Liberal Arts,Spanish,35456
3450,Williams College,Northeastern,Liberal Arts,Accounting,51656
3451,Williams College,Northeastern,Liberal Arts,Aerospace Engineering,63356
3452,Williams College,Northeastern,Liberal Arts,Agriculture,48256
3453,Williams College,Northeastern,Liberal Arts,Anthropology,42456
3454,Williams College,Northeastern,Liberal Arts,Architecture,47256
3455,Williams College,Northeastern,Liberal Arts,Art History,41456
3456,Williams College,Northeastern,Liberal Arts,Biology,44456
3457,Williams College,Northeastern,Liberal Arts,Business Management,48656
3458,Williams College,Northeastern,Liberal Arts,Chemical Engineering,68856
3459,Williams College,Northeastern,Liberal Arts,Chemistry,48256
3460,Williams College,Northeastern,Liberal Arts,Civil Engineering,59556
3461,Williams College,Northeastern,Liberal Arts,Communications,43756
3462,Williams College,Northeastern,Liberal Arts,Computer Engineering,67056
3463,Williams College,Northeastern,Liberal Arts,Computer Science,61556
3464,Williams College,Northeastern,Liberal Arts,Construction,59356
3465,Williams College,Northeastern,Liberal Arts,Criminal Justice,40656
3466,Williams College,Northeastern,Liberal Arts,Drama,41556
3467,Williams College,Northeastern,Liberal Arts,Economics,55756
3468,Williams College,Northeastern,Liberal Arts,Education,40556
3469,Williams College,Northeastern,Liberal Arts,Electrical Engineering,66556
3470,Williams College,Northeastern,Liberal Arts,English,43656
3471,Williams College,Northeastern,Liberal Arts,Film,43556
3472,Williams College,Northeastern,Liberal Arts,Finance,53556
3473,Williams College,Northeastern,Liberal Arts,Forestry,44756
3474,Williams College,Northeastern,Liberal Arts,Geography,46856
3475,Williams College,Northeastern,Liberal Arts,Geology,49156
3476,Williams College,Northeastern,Liberal Arts,Graphic Design,41356
3477,Williams College,Northeastern,Liberal Arts,Health Care Administration,44456
3478,Williams College,Northeastern,Liberal Arts,History,44856
3479,Williams College,Northeastern,Liberal Arts,Hospitality & Tourism,43456
3480,Williams College,Northeastern,Liberal Arts,Industrial Engineering,63356
3481,Williams College,Northeastern,Liberal Arts,Information Technology (IT),54756
3482,Williams College,Northeastern,Liberal Arts,Interior Design,41756
3483,Williams College,Northeastern,Liberal Arts,International Relations,46556
3484,Williams College,Northeastern,Liberal Arts,Journalism,41256
3485,Williams College,Northeastern,Liberal Arts,Management Information Systems (MIS),54856
3486,Williams College,Northeastern,Liberal Arts,Marketing,46456
3487,Williams College,Northeastern,Liberal Arts,Math,51056
3488,Williams College,Northeastern,Liberal Arts,Mechanical Engineering,63556
3489,Williams College,Northeastern,Liberal Arts,Music,41556
3490,Williams College,Northeastern,Liberal Arts,Nursing,59856
3491,Williams College,Northeastern,Liberal Arts,Nutrition,45556
3492,Williams College,Northeastern,Liberal Arts,Philosophy,45556
3493,Williams College,Northeastern,Liberal Arts,Physician Assistant,79956
3494,Williams College,Northeastern,Liberal Arts,Physics,55956
3495,Williams College,Northeastern,Liberal Arts,Political Science,46456
3496,Williams College,Northeastern,Liberal Arts,Psychology,41556
3497,Williams College,Northeastern,Liberal Arts,Religion,39756
3498,Williams College,Northeastern,Liberal Arts,Sociology,42156
3499,Williams College,Northeastern,Liberal Arts,Spanish,39656
3500,Pomona College,California,Liberal Arts,Accounting,48556
3501,Pomona College,California,Liberal Arts,Aerospace Engineering,60256
3502,Pomona College,California,Liberal Arts,Agriculture,45156
3503,Pomona College,California,Liberal Arts,Anthropology,39356
3504,Pomona College,California,Liberal Arts,Architecture,44156
3505,Pomona College,California,Liberal Arts,Art History,38356
3506,Pomona College,California,Liberal Arts,Biology,41356
3507,Pomona College,California,Liberal Arts,Business Management,45556
3508,Pomona College,California,Liberal Arts,Chemical Engineering,65756
3509,Pomona College,California,Liberal Arts,Chemistry,45156
3510,Pomona College,California,Liberal Arts,Civil Engineering,56456
3511,Pomona College,California,Liberal Arts,Communications,40656
3512,Pomona College,California,Liberal Arts,Computer Engineering,63956
3513,Pomona College,California,Liberal Arts,Computer Science,58456
3514,Pomona College,California,Liberal Arts,Construction,56256
3515,Pomona College,California,Liberal Arts,Criminal Justice,37556
3516,Pomona College,California,Liberal Arts,Drama,38456
3517,Pomona College,California,Liberal Arts,Economics,52656
3518,Pomona College,California,Liberal Arts,Education,37456
3519,Pomona College,California,Liberal Arts,Electrical Engineering,63456
3520,Pomona College,California,Liberal Arts,English,40556
3521,Pomona College,California,Liberal Arts,Film,40456
3522,Pomona College,California,Liberal Arts,Finance,50456
3523,Pomona College,California,Liberal Arts,Forestry,41656
3524,Pomona College,California,Liberal Arts,Geography,43756
3525,Pomona College,California,Liberal Arts,Geology,46056
3526,Pomona College,California,Liberal Arts,Graphic Design,38256
3527,Pomona College,California,Liberal Arts,Health Care Administration,41356
3528,Pomona College,California,Liberal Arts,History,41756
3529,Pomona College,California,Liberal Arts,Hospitality & Tourism,40356
3530,Pomona College,California,Liberal Arts,Industrial Engineering,60256
3531,Pomona College,California,Liberal Arts,Information Technology (IT),51656
3532,Pomona College,California,Liberal Arts,Interior Design,38656
3533,Pomona College,California,Liberal Arts,International Relations,43456
3534,Pomona College,California,Liberal Arts,Journalism,38156
3535,Pomona College,California,Liberal Arts,Management Information Systems (MIS),51756
3536,Pomona College,California,Liberal Arts,Marketing,43356
3537,Pomona College,California,Liberal Arts,Math,47956
3538,Pomona College,California,Liberal Arts,Mechanical Engineering,60456
3539,Pomona College,California,Liberal Arts,Music,38456
3540,Pomona College,California,Liberal Arts,Nursing,56756
3541,Pomona College,California,Liberal Arts,Nutrition,42456
3542,Pomona College,California,Liberal Arts,Philosophy,42456
3543,Pomona College,California,Liberal Arts,Physician Assistant,76856
3544,Pomona College,California,Liberal Arts,Physics,52856
3545,Pomona College,California,Liberal Arts,Political Science,43356
3546,Pomona College,California,Liberal Arts,Psychology,38456
3547,Pomona College,California,Liberal Arts,Religion,36656
3548,Pomona College,California,Liberal Arts,Sociology,39056
3549,Pomona College,California,Liberal Arts,Spanish,36556
3550,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Accounting,46456
3551,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Aerospace Engineering,58156
3552,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Agriculture,43056
3553,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Anthropology,37256
3554,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Architecture,42056
3555,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Art History,36256
3556,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Biology,39256
3557,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Business Management,43456
3558,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Chemical Engineering,63656
3559,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Chemistry,43056
3560,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Civil Engineering,54356
3561,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Communications,38556
3562,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Computer Engineering,61856
3563,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Computer Science,56356
3564,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Construction,54156
3565,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Criminal Justice,35456
3566,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Drama,36356
3567,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Economics,50556
3568,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Education,35356
3569,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Electrical Engineering,61356
3570,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,English,38456
3571,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Film,38356
3572,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Finance,48356
3573,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Forestry,39556
3574,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Geography,41656
3575,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Geology,43956
3576,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Graphic Design,36156
3577,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Health Care Administration,39256
3578,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,History,39656
3579,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Hospitality & Tourism,38256
3580,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Industrial Engineering,58156
3581,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Information Technology (IT),49556
3582,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Interior Design,36556
3583,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,International Relations,41356
3584,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Journalism,36056
3585,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Management Information Systems (MIS),49656
3586,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Marketing,41256
3587,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Math,45856
3588,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Mechanical Engineering,58356
3589,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Music,36356
3590,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Nursing,54656
3591,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Nutrition,40356
3592,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Philosophy,40356
3593,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Physician Assistant,74756
3594,"Wesleyan University (Middletown, Connecticut)",Northeastern,Liberal Arts,Physics,50756
